cycle_no,avg_cycle_loss,precision,recall,f_score
1.0,2859.2593784214578,0.0,0.0,0.0
2.0,1781.5618828712372,43.90243902439025,41.86046511627907,42.85714285714286
3.0,1313.4470098894749,60.97560975609756,58.139534883720934,59.523809523809526
4.0,940.3501677356533,81.3953488372093,81.3953488372093,81.39534883720931
5.0,614.7227330797314,93.02325581395348,93.02325581395348,93.02325581395348
6.0,417.1959792548929,95.34883720930233,95.34883720930233,95.34883720930233
7.0,296.85755829405815,97.67441860465115,97.67441860465115,97.67441860465115
8.0,220.00610446875507,100.0,100.0,100.0
9.0,178.88502638597544,100.0,100.0,100.0
10.0,138.8037209990304,100.0,100.0,100.0
11.0,123.80714761681861,100.0,100.0,100.0
12.0,125.94344097792214,100.0,100.0,100.0
13.0,97.2369123336135,100.0,100.0,100.0
