id,type,principal,date,location id,cleric
166470-0002-1-E1,baptism,166470-P00003,1830-08-14,166470-L1,166470-P00715
166470-0002-2-E1,baptism,166470-P00006,1830-08-15,166470-L1,166470-P00715
166470-0002-3-E1,baptism,166470-P00007,1830-08-20,166470-L1,166470-P00715
166470-1002-4-E1,baptism,166470-P00017,1830-08-20,166470-L1,166470-P00715
166470-1002-4-E2,birth,166470-P00017,1830-04-10,,
166470-1003-1-E1,baptism,166470-P00018,1830-09-01,166470-L1,166470-P00715
166470-1003-2-E1,baptism,166470-P00019,1830-09-01,166470-L1,166470-P00715
166470-1003-3-E1,baptism,166470-P00022,1830-09-04,166470-L1,166470-P00715
166470-1003-3-E2,birth,166470-P00022,1830-08-11,,
166470-1003-4-E1,baptism,166470-P00023,1830-09-07,166470-L1,166470-P00715
166470-1003-4-E2,birth,166470-P00023,1830-09-07,,
166470-1003-5-E1,baptism,166470-P00031,1830-09-07,166470-L1,166470-P00715
166470-1003-5-E2,birth,166470-P00031,1830-08-20,,
166470-1003-6-E1,baptism,166470-P00036,1830-09-14,166470-L1,166470-P00715
166470-1003-6-E2,birth,166470-P00036,1830-09-07,,
166470-1003-7-E1,baptism,166470-P00043,1830-09-14,166470-L1,166470-P00715
166470-1003-7-E2,birth,166470-P00043,1830-09-09,,
166470-1004-1-E1,baptism,166470-P00053,1830-09-15,166470-L1,166470-P00715
166470-1004-1-E2,birth,166470-P00053,1830-08-15,,
166470-1004-2-E1,baptism,166470-P00054,1830-09-10,166470-L1,166470-P00715
166470-1004-2-E2,birth,166470-P00054,1830-04-20,,
166470-1004-3-E1,baptism,166470-P00065,1830-09-15/1830-10-01,166470-L1,166470-P00715
166470-1004-4-E1,baptism,166470-P00069,1830-09-15/1830-10-01,166470-L1,166470-P00715
166470-1004-4-E2,birth,166470-P00069,1830-10-10/1829-09-10,,
166470-1004-5-E1,baptism,166470-P00073,1830-09-15/1830-10-01,166470-L1,166470-P00715
166470-1004-5-E2,birth,166470-P00073,1830-08-20,,
166470-1004-6-E1,baptism,166470-P00074,1830-09-15/1830-10-01,166470-L1,166470-P00715
166470-1004-6-E2,birth,166470-P00074,1830-08-04,,
166470-1004-7-E1,baptism,166470-P00084,1830-10-01,166470-L1,166470-P00715
166470-1004-7-E2,birth,166470-P00084,1830-09-20,,
166470-1005-1-E1,baptism,166470-P00101,1830-10-02,166470-L1,166470-P00721
166470-1005-1-E2,birth,166470-P00101,1830-07-01/1830-08-01,,
166470-1005-2-E1,baptism,166470-P00106,1830-10-04,166470-L1,166470-P00715
166470-1005-2-E2,birth,166470-P00106,1830-04-04,,
166470-1005-3-E1,baptism,166470-P00110,1830-10-04,166470-L1,166470-P00715
166470-1005-3-E2,birth,166470-P00110,1830-08-06,,
166470-1005-4-E1,baptism,166470-P00111,1830-10-04,166470-L1,166470-P00715
166470-1005-4-E2,birth,166470-P00111,1830-11-01/1830-10-01,,
166470-1005-5-E1,baptism,166470-P00116,1830-10-08,166470-L1,166470-P00715
166470-1005-5-E2,birth,166470-P00116,1830-09-09,,
166470-1005-6-E1,baptism,166470-P00126,1830-10-09,166470-L1,166470-P00715
