id,location
166470-L1,Catedral de Nuestra Señora de la Purisima Concepción
166470-L2,Guinea
166470-L3,Santo Espiri# y de
166470-L4,villa Clara
166470-L5,la Habana y de
166470-L6,Pipiceu
166470-L7,Paceraras
166470-L8,Cumanayagua
166470-L9,Villa Clara
166470-L10,Trinidad
166470-L11,Camarones
166470-L12,este partido
166470-L13,este partido de la propiedad de
166470-L14,Africa
166470-L15,esta Isla
166470-L16,rio
166470-L17,villa libre,
166470-L18,Cartagena
166470-L19,Santo Principe
166470-L20,Camanaygua
166470-L21,Guanalacoa
