from id,to id,relationship type
166470-P00001,166470-P00003,godchild
166470-P00002,166470-P00003,godchild
166470-P00003,166470-P00714,enslaver
166470-P00004,166470-P00006,slave
166470-P00005,166470-P00006,godchild
166470-P00007,166470-P00009,godparent
166470-P00007,166470-P00716,enslaver
166470-P00012,166470-P00017,grandchild
166470-P00012,166470-P00013,spouse
166470-P00013,166470-P00017,grandchild
166470-P00014,166470-P00017,godchild
166470-P00015,166470-P00017,godchild
166470-P00018,166470-P00717,godparent
166470-P00018,166470-P00716,enslaver
166470-P00019,166470-P00717,godparent
166470-P00019,166470-P00716,enslaver
166470-P00021,166470-P00022,slave
166470-P00022,166470-P00718,godparent
166470-P00023,166470-P00026,grandparent
166470-P00023,166470-P00027,grandparent
166470-P00023,166470-P00029,godparent
166470-P00023,166470-P00030,godparent
166470-P00023,166470-P00024,parent
166470-P00024,166470-P00026,parent
166470-P00024,166470-P00027,parent
166470-P00031,166470-P00720,godparent
166470-P00033,166470-P00719,slave
166470-P00036,166470-P00041,godparent
166470-P00036,166470-P00042,godparent
166470-P00038,166470-P00039,enslaver
166470-P00043,166470-P00048,godparent
166470-P00043,166470-P00049,godparent
166470-P00043,166470-P00044,parent
166470-P00052,166470-P00053,godchild
166470-P00054,166470-P00057,grandparent
166470-P00054,166470-P00058,grandparent
166470-P00054,166470-P00059,grandparent
166470-P00054,166470-P00060,grandparent
166470-P00054,166470-P00062,godparent
166470-P00054,166470-P00063,godparent
166470-P00054,166470-P00055,parent
166470-P00054,166470-P00056,parent
166470-P00055,166470-P00056,spouse
166470-P00055,166470-P00058,parent
166470-P00055,166470-P00057,parent
166470-P00057,166470-P00058,spouse
166470-P00059,166470-P00060,spouse
166470-P00064,166470-P00065,godchild
166470-P00065,166470-P00720,enslaver
166470-P00066,166470-P00069,child
166470-P00067,166470-P00719,slave
166470-P00068,166470-P00069,godchild
166470-P00070,166470-P00073,child
166470-P00070,166470-P00071,enslaver
166470-P00072,166470-P00073,godchild
166470-P00073,166470-P00718,godparent
166470-P00074,166470-P00077,grandparent
166470-P00074,166470-P00078,grandparent
166470-P00074,166470-P00082,godparent
166470-P00074,166470-P00083,godparent
166470-P00074,166470-P00075,parent
166470-P00074,166470-P00076,parent
166470-P00077,166470-P00078,spouse
166470-P00084,166470-P00088,grandparent
166470-P00084,166470-P00087,grandparent
166470-P00084,166470-P00089,grandparent
166470-P00084,166470-P00090,grandparent
166470-P00084,166470-P00092,godparent
166470-P00084,166470-P00093,godparent
166470-P00084,166470-P00085,parent
166470-P00084,166470-P00086,parent
166470-P00085,166470-P00086,spouse
166470-P00085,166470-P00090,parent
166470-P00085,166470-P00089,parent
166470-P00087,166470-P00088,spouse
166470-P00089,166470-P00090,spouse
166470-P00094,166470-P00101,child
166470-P00094,166470-P00095,spouse
166470-P00094,166470-P00097,parent
166470-P00094,166470-P00096,parent
166470-P00095,166470-P00101,child
166470-P00096,166470-P00101,grandchild
166470-P00096,166470-P00097,spouse
166470-P00097,166470-P00101,grandchild
166470-P00100,166470-P00101,godchild
166470-P00101,166470-P00721,godparent
166470-P00102,166470-P00106,child
166470-P00102,166470-P00103,spouse
166470-P00102,166470-P00104,enslaver
166470-P00103,166470-P00106,child
166470-P00103,166470-P00104,enslaver
166470-P00105,166470-P00106,godchild
166470-P00107,166470-P00108,enslaver
166470-P00109,166470-P00110,godchild
166470-P00111,166470-P00115,godparent
166470-P00111,166470-P00112,parent
166470-P00111,166470-P00113,enslaver
166470-P00116,166470-P00119,grandparent
166470-P00116,166470-P00120,grandparent
166470-P00116,166470-P00123,godparent
166470-P00116,166470-P00124,godparent
166470-P00116,166470-P00117,parent
166470-P00117,166470-P00120,parent
166470-P00117,166470-P00119,parent
166470-P00119,166470-P00120,spouse
166470-P00125,166470-P00126,slave
166470-P00126,166470-P00718,godparent
166470-P00127,166470-P00129,godparent
166470-P00127,166470-P00714,enslaver
166470-P00130,166470-P00132,godparent
166470-P00130,166470-P00716,enslaver
166470-P00133,166470-P00142,child
166470-P00133,166470-P00137,parent
166470-P00133,166470-P00136,parent
166470-P00134,166470-P00142,child
166470-P00134,166470-P00139,parent
166470-P00134,166470-P00138,parent
166470-P00136,166470-P00142,grandchild
166470-P00136,166470-P00137,spouse
166470-P00137,166470-P00142,grandchild
166470-P00138,166470-P00142,grandchild
166470-P00138,166470-P00139,spouse
166470-P00139,166470-P00142,grandchild
166470-P00140,166470-P00142,godchild
166470-P00141,166470-P00142,godchild
166470-P00148,166470-P00151,grandparent
166470-P00148,166470-P00152,grandparent
166470-P00148,166470-P00154,godparent
166470-P00148,166470-P00150,enslaver
166470-P00151,166470-P00152,spouse
166470-P00157,166470-P00159,slave
166470-P00158,166470-P00159,godchild
166470-P00160,166470-P00162,enslaver
166470-P00161,166470-P00162,enslaver
166470-P00163,166470-P00166,godchild
166470-P00170,166470-P00171,godchild
166470-P00171,166470-P00722,enslaver
166470-P00178,166470-P00179,godchild
166470-P00182,166470-P00183,godchild
166470-P00184,166470-P00723,godparent
166470-P00184,166470-P00722,enslaver
166470-P00189,166470-P00722,enslaver
166470-P00190,166470-P00722,enslaver
166470-P00191,166470-P00192,godchild
166470-P00193,166470-P00723,godparent
166470-P00196,166470-P00200,godparent
166470-P00203,166470-P00723,godparent
166470-P00203,166470-P00722,enslaver
166470-P00204,166470-P00208,godparent
166470-P00204,166470-P00722,enslaver
166470-P00209,166470-P00722,enslaver
166470-P00210,166470-P00722,enslaver
166470-P00211,166470-P00212,godchild
166470-P00212,166470-P00723,godparent
166470-P00214,166470-P00216,grandchild
166470-P00214,166470-P00215,spouse
166470-P00215,166470-P00216,grandchild
166470-P00216,166470-P00720,godparent
166470-P00218,166470-P00218,godparent
166470-P00219,166470-P00221,godchild
166470-P00220,166470-P00221,godchild
166470-P00221,166470-P00716,enslaver
166470-P00222,166470-P00223,godchild
166470-P00223,166470-P00714,enslaver
166470-P00224,166470-P00226,godchild
166470-P00225,166470-P00226,godchild
166470-P00226,166470-P00716,enslaver
166470-P00227,166470-P00230,grandparent
166470-P00227,166470-P00231,grandparent
166470-P00227,166470-P00232,grandparent
166470-P00227,166470-P00233,grandparent
166470-P00227,166470-P00235,godparent
166470-P00230,166470-P00231,spouse
166470-P00232,166470-P00233,spouse
166470-P00236,166470-P00240,godparent
166470-P00236,166470-P00241,godparent
166470-P00237,166470-P00238,enslaver
166470-P00242,166470-P00243,godchild
166470-P00243,166470-P00724,enslaver
166470-P00244,166470-P00245,godchild
166470-P00245,166470-P00714,enslaver
166470-P00246,166470-P00715,godparent
166470-P00246,166470-P00716,enslaver
166470-P00247,166470-P00715,godparent
166470-P00247,166470-P00716,enslaver
